amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
432,Help me make Casey cry by getting Enchroma glasses,U.S. Dollar,"Dec 10, 2017",of $429 goal,19,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/61Iem7
"4,036",Make a difference in Suzy Rosema's fight for life!,U.S. Dollar,"Nov 30, 2017",of $7k goal,85,"Any fan who's been to Media West Con in Lansing, or to many of the
  movie theatres in the area, has probably run into Scott and Suzy
  Rosema. Scott's a big guy with a big voice and an incredible talent
  for drawing comic and fantasy characters. Suzy is a brilliant stained
  glass artist with a ready smile. They've been regular MWC attendees
  for many years. They sometimes sell Scott's prints at the local movie theaters. Suzy has just been diagnosed
      with breast cancer. This is both emotionally devastating, and financially horrific. Scott
  and Suzy are already struggling to catch up from a period of financial
  hardship, and this is a mighty blow. What can you do? Spread the word . PLEASE tell others about this fundrazr effort. If even 20 people can
  give $5, that's food for a week. If 20 people give $10, that's the
  electric bill. Sheer numbers matter. Donate. Any amount helps. Truly. Mortgage companies
  won't take partial payments, so sometimes that $3 that is all you or a
  friend can afford can make a huge difference. Pray . However you talk to the Force, please do. Remind people about the fundraiser. They may mean to make a donation,
  but need to wait till payday and then forget. It will take all of us. You'll likely have noticed my name isn't in here. That's because I'm
  not important in this, I'm merely getting things going. I've known
  Suzy and Scott for something like 20 years, and they are Good People.
  So please help. ALL DONATIONS GO DIRECTLY TO SCOTT AND SUZY.",https://fundrazr.com/01Hqq9
360,*SECRET* Help John see Christmas in true color!,U.S. Dollar,"Dec 13, 2017",of $450 goal,8,"Cannot stress enough that this is a
      secret.  PLEASE do not share this with him. Original goal is to purchase
      Enchroma sunglasses.  Any funds received over the original goal
      will go towards a second pair intended for indoor use once we know
      they work for him.  Although I'm sure everyone will want to see a
      video of his reaction, I cannot guarantee it as John isn't big on
      ""publicity"".  However, I will be sure to share the details** WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/e1Ihu6
"7,146",Please help to save Yvonne's arm,U.S. Dollar,"Dec 31, 2017",of $48.3k goal,68,"Hello! My name is Yvonne Foong, I was diagnosed with Neurofibromatosis type
  2 when I was 16 years old with hearing and vision damaged. It causes
  tumours to grow anywhere in my brain, along with the spinal cords and
  peripheral nerves. So far I have had 20 different surgeries to safely
  remove the tumours whenever needed to preserve my life. In the end of 2017, I need to undergo surgery again to remove
  multiple large tumours called schwannoma from both my arms. They have
  made my fingers and hands increasingly numb. If they are not carefully
  removed, they can paralyze my arms. I cannot become incapacitated, my mother will be helpless if I lose
  the ability to take care of myself. Last year, I had brain surgery at
  the US NIH, the surgery was done well. However, I was not taken cared
  of well in the ward. My vision became damaged as a result, I have had
  to adapt by getting help from people to do my work and in order to
  stay productive, while my mother started having to prepare my daily
  living needs despite her advanced age.  So I must go for surgery with
  doctors who can do better to save my arms before it is too late. Some brief details about the surgery: Where: St Vincent Medical Center, Los Angeles. By Who: Dr. Gregory P Lekovic, Neurosurgeon. When: In the end of 2017 For Malaysian supporter, you may contribute to my local bank account: Name:  Foong Ming Niang Public Bank Berhad:  6887203135 or you may also watch the video below to understand my family
  background and why I must preserve my ability to live independently. http://www.worksofgratitude.com/iv.html Thank you Yvonne Foong",https://fundrazr.com/savemyarm
500,Anthony's Full Color Christmas,U.S. Dollar,,of $500 goal,7,"Anthony is special. He has a huge heart and he loves his
      friends and family fiercely. I would have to have been totally
      ignorant not to notice that about him. He gives of his time and
      heart to everyone he cares about and even to strangers. He loves
      fully and completely. He believes in the goodness in everyone
      around him. (He totally balances out my cynicism). So, when
      Anthony developed Deuteranopia  in 2016, I hated that he lost a
      way to see the world he loves so much. I know that it is the holidays and that things are tight for
      everyone. We gratefully don't have a goal that is totally
      unreachable. Anything that you can do to help this amazing man
      would be incredibly appreciated. You all know him. There is a
      reason that he has been in your life. He is kind and gentle and
      more giving than anyone I have ever met. I hate that this was
      taken away from him. I hate that he didn't notice it going away.
      He talks about it often. I know what this would mean to him. And I know what it would
      mean to me to make this happen. Thank you so much for stopping by here. If you can, please
      help me to give this awesome man the gift of color again. Thank you, Barbra P.S. - If you are curious about what I am talking about, see
      below for information on the Enchroma glasses that I want to get Anthony. WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/AnthonysColorfulChristmas
285,Help Gary to see the beauty of the world,U.S. Dollar,"Jan 7, 2018",of $429 goal,10,"After sharing a video of a man who received Enchroma glasses for his
  birthday, and saw colors for the first time in his life, a friend I've
  known for quite some time shared in a comment that he wishes he had
  these glasses because he suffers from color blindness himself and how
  he had to give up art as a child for this reason.  I never new this
  about him.  Another friend of mine saw his comment and suggest to me
  the idea of raising money to purchase him a pair. Gary is a great guy, a career Marine.  He loves the outdoors, and I
  was thinking how much beauty he must be missing not seeing everything
  in accurate color. I would so love to surprise him with a pair of these glasses so he
  can see what we take for granted. Any help in making this happen would be greatly appreciated. Thank you - Angela",https://fundrazr.com/d1IbUb
125,Help David get Enchroma glasses,U.S. Dollar,"Dec 4, 2017",of $429 goal,2,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/91ImNb
420,Color to the Blind,U.S. Dollar,"Nov 23, 2017",of $420 goal,10,"About John John has been color blind since
    birth. When he was first in school his teacher was concerned because
    he would only use crayon with their color label still attached.
    Later on they found out he was reading the color name. When Curtis,
    John's father, was doing research for his graduate degree, he
    discovered that John was Red-green color blind. People John meets
    these days can't tell he is colorblind because John work's daily to
    strengthen his ability to distinguish colors. To this day he can't
    tell the difference between cantaloupe and honeydew. John's accomplishments John has taken many art classes. He
    is a great artist and wants to be a better one. This
    was done on a Post-It Note This
    is also on a Post-It Note Reasons to Donate John would benefit greatly from this experience. Anything helps. I'm
  hoping to raise enough money to get these for Christmas. I'm hoping
  everyone would donate $10-20. I appreciate all your help. WHAT IS E NCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/JohnCMartin
195,Help my dad see color with Enchroma glasses!,U.S. Dollar,"Dec 4, 2017",of $350 goal,3,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/e1IAD5
550,Levi's Campaign to see the World in true colors.,U.S. Dollar,"Apr 18, 2018",of $550 goal,6,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/e1IDAe
