amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,test,url
385,SHHH! Help James see colors for the best Christmas,U.S. Dollar,"Nov 23, 2017",of $599 goal,7,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",true,https://fundrazr.com/f1I321
728,Help a disabled nun with a new boiler this winter,U.S. Dollar,"Dec 31, 2017",of $10k goal,28,"This campaign is for a disabled nun with serious health,
    issues: multiple sclerosis, Alzheimer's, epilepsy and
    diabetes, whose boiler has failed. She has had numerous quotes from
    repair people, but the bottom line is the same: The whole system
    needs to be replaced. Since she is not employed, she can't get just pay a deposit and
    get the rest on credit. So she needs the entire amount up front for
    the workmen to do the job. The clock is ticking. She needs to raise the money as
      soon as possible . Your contributions will also cover
    keeping it fueled up. ANY help you can give will be most gratefully received, so she does not become sicker from the icy cold. Thank you for your
    great kindness, and many blessings!",true,https://fundrazr.com/winterwarmth
125,The chance for a 73 old man to finally see colors,U.S. Dollar,,of $349 goal,1,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",,https://fundrazr.com/51I1N9
225,Let Danny finally see colors this Christmas!,U.S. Dollar,"Dec 10, 2017",of $400 goal,5,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",,https://fundrazr.com/21IB5b
285,Help Gary to see the beauty of the world,U.S. Dollar,"Jan 7, 2018",of $429 goal,10,"After sharing a video of a man who received Enchroma glasses for his
  birthday, and saw colors for the first time in his life, a friend I've
  known for quite some time shared in a comment that he wishes he had
  these glasses because he suffers from color blindness himself and how
  he had to give up art as a child for this reason.  I never new this
  about him.  Another friend of mine saw his comment and suggest to me
  the idea of raising money to purchase him a pair. Gary is a great guy, a career Marine.  He loves the outdoors, and I
  was thinking how much beauty he must be missing not seeing everything
  in accurate color. I would so love to surprise him with a pair of these glasses so he
  can see what we take for granted. Any help in making this happen would be greatly appreciated. Thank you - Angela",,https://fundrazr.com/d1IbUb
420,Color to the Blind,U.S. Dollar,"Nov 23, 2017",of $420 goal,10,"About John John has been color blind since
    birth. When he was first in school his teacher was concerned because
    he would only use crayon with their color label still attached.
    Later on they found out he was reading the color name. When Curtis,
    John's father, was doing research for his graduate degree, he
    discovered that John was Red-green color blind. People John meets
    these days can't tell he is colorblind because John work's daily to
    strengthen his ability to distinguish colors. To this day he can't
    tell the difference between cantaloupe and honeydew. John's accomplishments John has taken many art classes. He
    is a great artist and wants to be a better one. This
    was done on a Post-It Note This
    is also on a Post-It Note Reasons to Donate John would benefit greatly from this experience. Anything helps. I'm
  hoping to raise enough money to get these for Christmas. I'm hoping
  everyone would donate $10-20. I appreciate all your help. WHAT IS E NCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",true,https://fundrazr.com/JohnCMartin
432,Help me make Casey cry by getting Enchroma glasses,U.S. Dollar,"Dec 10, 2017",of $429 goal,19,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",true,https://fundrazr.com/61Iem7
125,Help David get Enchroma glasses,U.S. Dollar,"Dec 4, 2017",of $429 goal,2,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",,https://fundrazr.com/91ImNb
500,Anthony's Full Color Christmas,U.S. Dollar,,of $500 goal,7,"Anthony is special. He has a huge heart and he loves his
      friends and family fiercely. I would have to have been totally
      ignorant not to notice that about him. He gives of his time and
      heart to everyone he cares about and even to strangers. He loves
      fully and completely. He believes in the goodness in everyone
      around him. (He totally balances out my cynicism). So, when
      Anthony developed Deuteranopia  in 2016, I hated that he lost a
      way to see the world he loves so much. I know that it is the holidays and that things are tight for
      everyone. We gratefully don't have a goal that is totally
      unreachable. Anything that you can do to help this amazing man
      would be incredibly appreciated. You all know him. There is a
      reason that he has been in your life. He is kind and gentle and
      more giving than anyone I have ever met. I hate that this was
      taken away from him. I hate that he didn't notice it going away.
      He talks about it often. I know what this would mean to him. And I know what it would
      mean to me to make this happen. Thank you so much for stopping by here. If you can, please
      help me to give this awesome man the gift of color again. Thank you, Barbra P.S. - If you are curious about what I am talking about, see
      below for information on the Enchroma glasses that I want to get Anthony. WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",true,https://fundrazr.com/AnthonysColorfulChristmas
520,Please help my Sweet Little Jack fight cancer! ❤️�,U.S. Dollar,,of $200k goal,9,"DONATE As
  much or as little as you can - It will all help and it all matters to Jack! ""All"" funds will be used to offset any treatment costs not
  covered by medical insurance and to help Jack and his family manage
  additional financial concerns such as ancilliary bills/expenses
  related to his care and potential loss of income while he is being
  cared for. 100% of any funds left over will be donated to a child cancer
  (Neuroblastoma) charity - to continue the fight for other children. GO VIRAL! Share this page with as many people as you can! By ""Going Viral"", you will radically increase the odds of
  Jack getting the help that he needs. There are many good people out
  there that may care enough to help - we just have to let them know
  that they can - and that it will make all the difference! MY THOUGHTS While our world has been so harshly upended, I will also tell you
  that I believe, in my heart of hearts that HE WILL get through this! Though Jack's life has suddenly become a life of hospitals & of
  change, that he has demonstrated resilience, courage & a tolerance
  for his situation that most likely, you or I could not. He is a little
  trooper who has still not lost his goofball nature! Love always, Amanda aka Mom",true,https://fundrazr.com/friends-of-jack
